"id","name","neighbourhood","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","availability_365","X","Y","CategX","CategY"
20755806,"The Color Room @ GrayHouse, from 1 to 4 single bed","San Donato - San Vitale","Private room",35,1,25,"03/12/2018",0.58,69,44.50913,11.37623,"(44.508,44.51]","(44.508,44.51]"
20765399,"ASTORIA SUITE APARTMENTS 3","Porto - Saragozza","Entire home/apt",105,1,12,"03/01/2018",0.26,0,44.5033,11.33722,"(44.502,44.504]","(44.502,44.504]"
20779962,"Saragozza Apartment 5: Bright and central flat","Porto - Saragozza","Entire home/apt",63,1,78,"01/07/2020",1.74,337,44.49047,11.32698,"(44.49,44.492]","(44.49,44.492]"
20790044,"UR-NEST San Felice","Porto - Saragozza","Entire home/apt",148,2,1,"31/03/2020",0.06,178,44.49607,11.33608,"(44.496,44.498]","(44.496,44.498]"
20799750,"Umarell House 1","Porto - Saragozza","Entire home/apt",69,1,10,"30/09/2018",0.21,228,44.50393,11.33594,"(44.504,44.506]","(44.504,44.506]"
20808577,"The Green Room","Porto - Saragozza","Private room",32,2,106,"12/11/2019",2.59,0,44.50018,11.34024,"(44.5,44.502]","(44.5,44.502]"
20827807,"Silenzioso appartamento sui tetti del centro con grande privacy e arte scelta","Santo Stefano","Entire home/apt",111,2,41,"22/06/2021",1.04,263,44.49931,11.34586,"(44.498,44.5]","(44.498,44.5]"
20829085,"L'8Boutique Design Apartments: 8-05","Santo Stefano","Entire home/apt",108,2,3,"31/05/2018",0.07,285,44.49931,11.34586,"(44.498,44.5]","(44.498,44.5]"
20845848,"Luxury Studio in Palazzo Bocchi","Santo Stefano","Entire home/apt",63,2,21,"01/10/2020",0.45,31,44.49653,11.34474,"(44.496,44.498]","(44.496,44.498]"
20874535,"Matrimoniale  per una persona","San Donato - San Vitale","Private room",35,1,45,"30/06/2019",0.99,365,44.49427,11.36797,"(44.494,44.496]","(44.494,44.496]"
20910505,"Casa Fatima","San Donato - San Vitale","Private room",40,1,9,"20/10/2019",0.22,363,44.49217,11.37725,"(44.492,44.494]","(44.492,44.494]"
20911030,"★ Spacious & Clean Apt Under the Towers ★","Santo Stefano","Entire home/apt",70,2,7,"23/11/2017",0.19,171,44.49551,11.34733,"(44.494,44.496]","(44.494,44.496]"
20912420,"Newly Renovated Apartment in Bologna's ❤","Santo Stefano","Entire home/apt",77,1,15,"02/09/2019",0.55,166,44.49842,11.34451,"(44.498,44.5]","(44.498,44.5]"
